Map,Safe prob,Delay prob,Number of agents,Number of goals,Instance,Algorithm,Runtime,Planner calls,Sum Of Cost
empty-32-32,0.8,0.1,25,10,17,IDP,0.96391,1,43
empty-32-32,0.8,0.1,25,10,17,IRC,0.94722,1,47
empty-32-32,0.8,0.1,25,10,18,RCbssEff,1.00969,1,52
empty-32-32,0.8,0.1,25,10,18,IDP,1.00006,1,52
empty-32-32,0.8,0.1,25,10,18,IRC,0.97966,1,60
empty-32-32,0.8,0.1,25,10,19,RCbssEff,0.96458,1,67
empty-32-32,0.8,0.1,25,10,19,IDP,0.96038,1,67
empty-32-32,0.8,0.1,25,10,19,IRC,0.94707,1,75
empty-32-32,0.8,0.1,25,10,20,RCbssEff,0.99126,1,62
empty-32-32,0.8,0.1,25,10,20,IDP,0.99668,1,62
empty-32-32,0.8,0.1,25,10,20,IRC,0.98187,1,71
empty-32-32,0.8,0.1,25,20,1,RCbssEff,2.21798,1,97
empty-32-32,0.8,0.1,25,20,1,IDP,2.20988,1,97
empty-32-32,0.8,0.1,25,20,1,IRC,2.17608,1,99
empty-32-32,0.8,0.1,25,20,2,RCbssEff,1.77192,1,107
empty-32-32,0.8,0.1,25,20,2,IDP,1.79623,1,107
empty-32-32,0.8,0.1,25,20,2,IRC,1.76416,1,119
empty-32-32,0.8,0.1,25,20,3,RCbssEff,1.85145,1,106
empty-32-32,0.8,0.1,25,20,3,IDP,1.86137,1,106
empty-32-32,0.8,0.1,25,20,3,IRC,1.86792,1,120
empty-32-32,0.8,0.1,25,20,4,RCbssEff,1.77305,1,110
empty-32-32,0.8,0.1,25,20,4,IDP,1.75092,1,110
empty-32-32,0.8,0.1,25,20,4,IRC,1.74057,1,126
empty-32-32,0.8,0.1,25,20,5,RCbssEff,1.8523,1,110
empty-32-32,0.8,0.1,25,20,5,IDP,1.8478,1,110
empty-32-32,0.8,0.1,25,20,5,IRC,1.89424,1,121
empty-32-32,0.8,0.1,25,20,6,RCbssEff,18.38109,1,111
empty-32-32,0.8,0.1,25,20,6,IDP,18.56335,1,111
empty-32-32,0.8,0.1,25,20,6,IRC,3.33898,2,117
empty-32-32,0.8,0.1,25,20,7,RCbssEff,2.0531,1,124
empty-32-32,0.8,0.1,25,20,7,IDP,1.84087,1,124
empty-32-32,0.8,0.1,25,20,7,IRC,1.86988,1,143
empty-32-32,0.8,0.1,25,20,8,RCbssEff,1.82346,1,123
empty-32-32,0.8,0.1,25,20,8,IDP,1.80599,1,123
empty-32-32,0.8,0.1,25,20,8,IRC,1.8108,1,132
empty-32-32,0.8,0.1,25,20,9,RCbssEff,2.23983,1,106
empty-32-32,0.8,0.1,25,20,9,IDP,3.25728,1,106
empty-32-32,0.8,0.1,25,20,9,IRC,1.99581,1,117
empty-32-32,0.8,0.1,25,20,10,RCbssEff,1.81574,1,115
empty-32-32,0.8,0.1,25,20,10,IDP,1.82216,1,115
empty-32-32,0.8,0.1,25,20,10,IRC,1.82215,1,133
empty-32-32,0.8,0.1,25,20,11,RCbssEff,1.80895,1,110
empty-32-32,0.8,0.1,25,20,11,IDP,1.84565,1,110
