Map,Safe prob,Delay prob,Number of agents,Number of goals,Instance,Algorithm,Runtime,Calls to EGTSP\TSP
empty-32-32,0.8,0.1,5,16,20,RCbssEff,0.8624,1
empty-32-32,0.8,0.1,5,16,20,RCbssBase,,
empty-32-32,0.8,0.1,5,20,1,RCbssEff,1.14594,1
empty-32-32,0.8,0.1,5,20,1,RCbssBase,,
empty-32-32,0.8,0.1,5,20,2,RCbssEff,1.27166,1
empty-32-32,0.8,0.1,5,20,2,RCbssBase,,
empty-32-32,0.8,0.1,5,20,3,RCbssEff,1.18178,1
empty-32-32,0.8,0.1,5,20,3,RCbssBase,,
empty-32-32,0.8,0.1,5,20,4,RCbssEff,1.16281,1
empty-32-32,0.8,0.1,5,20,4,RCbssBase,,
empty-32-32,0.8,0.1,5,20,5,RCbssEff,1.22435,1
empty-32-32,0.8,0.1,5,20,5,RCbssBase,,
empty-32-32,0.8,0.1,5,20,6,RCbssEff,1.13789,1
